'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
919.22,924,940,5.3658,0.045011,2.5424,93,73.251,7.9688,96.278,0.48765,65.691,5.2914,53.571,79.365,214.91,1599.5,670.04,1763.9,37.65,15.772,41.52,25.295,66.592,0.38,4248.4,0.0042402,68.184,77.99,1.1438,0.99511,1.5319,0.58457,0.95587,86.042,2,4.75
824.43,832,844,1.0203,-0.457,3.6009,40,31.943,3.8745,14.46,0.0027548,72.889,2.8909,64.378,83.333,70.506,589.42,142.99,66.262,67.814,16.451,7.6236,51.112,23.686,2.16,869.18,0.018624,10.191,44.13,4.3301,1.0642,1.269,1.3315,0.99276,242.17,3,5.75
884.96,888,888,1.2809,-1.0025,5.4922,52,35.79,4.0442,10.637,0.0029851,67.916,2.8919,62.5,85.714,80.691,673.65,129.14,32.865,73.515,14.093,3.5865,53.21,13.542,3.93,916.34,0.028687,7.4836,50.233,6.7124,0.93629,1.0821,1.5331,1.0647,253.38,2,5.5
758.75,760,760,0.74938,0.033127,3.9619,36,27.375,3.6079,14.868,0.0050891,79.18,2.8699,68.807,90.909,43.611,299.4,221.29,88.572,45.859,33.895,13.566,62.605,25.057,2.5,652.88,0.051363,10.525,37.256,3.5398,1.1099,1.285,1.4118,0.84684,422.46,3,7.125
853.88,856,872,2.1197,-0.63135,3.8334,63,46.04,5.3918,43.193,0.29429,70.481,3.982,62.5,89.286,21.005,391.68,442.17,700.66,25.18,28.426,45.043,37.993,60.202,0.63,1555.5,0.0202,30.586,57.479,1.8793,1.1844,1.644,0.91045,0.91317,150.29,2,5.125
893.41,892,900,0.62147,0.06943,9.4995,32,24.929,2.7903,23.602,0.021021,67.211,1.8906,57.692,79.365,4.9026,158.79,180.08,119.25,34.295,38.892,25.755,59.191,39.197,1.51,463.02,0.083871,17.038,30.741,1.8043,1.05,1.1502,1.0565,0.88961,277.22,2,5.375
833.68,836,836,0.45904,-1.0379,8.0476,28,21.425,2.57,15.437,0.005571,72.019,1.9151,68.182,87.209,19.25,226.45,118.58,74.323,51.629,27.036,16.945,55.894,35.032,1.6,438.6,0.030039,10.931,28.259,2.5853,0.99597,1.0192,1.1145,0.90798,402.05,2,5.5
867.14,852,836,3.531,0.49457,2.3308,76,59.422,6.8527,21.559,0.020649,69.509,4.6424,59.761,80.645,719.37,2686.8,274.83,135.96,70.392,7.2001,3.5618,24.318,12.03,2.02,3817,0.0016594,15.317,82.994,5.4184,0.91317,0.99326,1.1619,1.1807,164.65,2,5.125
1064.2,1076,1092,2.1666,-2.3636,9.8108,36,46.547,4.3738,21.856,0.010753,56.501,2.7864,53.191,70.755,63.796,1045.6,263.03,164.34,68.04,17.115,10.694,53.552,33.46,1.6,1536.8,0.16352,15.477,63.982,4.1339,0.96656,1.0821,1.4706,0.9709,158.08,1,3.125
801.09,800,800,0.27519,0.38378,3.1503,24,16.589,2.0708,10.949,0,74.929,1.5413,70.423,78.947,13.618,144.85,61.171,44.538,54.831,23.155,16.859,51.263,37.324,1.37,264.18,0.0034654,7.7522,22.142,2.8562,0.95396,2.2115,0.97933,1.0952,1109.2,1,3.625
781.7,784,772,1.0454,-0.34258,3.5927,40,32.332,4.1362,22.278,0.010444,76.89,3.2469,68.493,87.719,27.982,311.98,334.57,206.71,35.403,37.965,23.457,58.772,36.312,1.62,881.24,0.037968,15.773,42.918,2.7209,1.1392,1.5146,1.0583,0.88752,360.94,1,4
851.7,852,824,0.82947,0.057153,1.9733,48,28.8,3.3815,41.533,0.19941,70.528,2.3843,65.789,76.142,14.908,67.822,56.301,532.69,10.097,8.3816,79.302,9.3229,88.208,0.11,671.72,0.012452,29.411,28.176,0.958,0.84307,0.91911,0.31759,0.38981,617.44,1,3.875
762.98,764,764,0.65344,-0.030659,8.9843,36,25.563,3.3504,20.333,0.012788,78.728,2.677,64.935,98.684,21.922,171.74,335.12,103.1,27.179,53.035,16.316,72.83,22.406,3.25,631.88,0.093148,14.396,33.161,2.3035,0.97952,1.0322,1.1837,0.62948,255.99,1,3.5
962.38,968,992,4.9547,-0.53858,3.3301,88,70.389,7.3141,52.036,0.35806,62.698,4.8628,54.152,83.333,135.13,1257.8,1292.9,1070.6,33.482,34.419,28.501,51.744,42.848,1.21,3756.5,0.014144,36.448,91.452,2.5091,1.1237,1.7103,1.0278,0.90146,76.982,2,5.375
923.41,924,912,1.4945,-3.1407,32.049,40,38.659,4.1866,41.96,0.053459,65.115,3.4058,54.745,106.38,11.011,320.62,635.07,767.53,18.488,36.62,44.258,44.925,54.296,0.83,1734.2,0.035303,29.717,45.891,1.5443,1.2042,1.9782,0.88599,0.73645,97.494,1,2.75
869.66,868,868,1.5405,0.13643,3.0897,52,39.249,4.5131,21.158,0.026163,69.133,3.1201,60,78.534,70.111,608.58,498.99,105.72,47.419,38.88,8.2376,73.944,15.667,4.72,1283.4,0.028577,14.983,53.446,3.5671,1.0515,1.5101,1.278,1.018,176.32,2,5.25
856.15,860,868,2.3689,0.00027388,3.3542,68,48.671,5.6849,44.746,0.20115,70.31,4.0426,58.594,84.27,74.358,942.48,399.53,335.68,53.793,22.803,19.159,49.351,41.464,1.19,1752,0.037422,31.686,61.104,1.9285,1.1696,1.7277,0.86338,0.95579,149.65,2,4.625
1021.3,1020,992,1.437,0.042516,2.2902,60,37.908,3.7118,26.411,0.044521,58.83,2.1862,54.545,65.217,121.19,734.57,266.44,182.33,56.309,20.424,13.977,46.747,31.99,1.46,1304.5,0.020316,18.706,50.241,2.6858,0.92187,1.6946,1.1962,0.99837,230.51,1,3.875
840.99,840,864,2.2378,0.26445,3.0213,64,47.306,5.625,32.242,0.092958,71.568,4.0015,59.289,81.522,171.92,915.2,770.87,435.33,39.907,33.614,18.982,55.937,31.589,1.77,2293.3,0.032727,22.883,63.058,2.7557,1.197,1.5964,1.1208,0.83246,171.66,1,3.875
1062.3,1076,1080,7.8825,-0.39999,2.9223,112,88.784,8.3579,78.877,0.57801,56.898,5.0141,46.012,71.429,260.95,1870.1,3589.8,2023.3,24.149,46.355,26.126,61.113,34.444,1.77,7744.2,0.025658,55.874,112.44,2.0124,1.0784,1.7643,0.91757,0.63788,55.985,1,3.75
