'RRmean','RRmedian','RRmode','RRvariance','RRskew','RRkurt','RRiqr','SDNN','RRCoV','RMSSD','pnn50','HRmean','HRstd','HRmin','HRmax','AbsPowerULF','AbsPowerVLF','AbsPowerLF','AbsPowerHF','RelPowerVLF','RelPowerLF','RelPowerHF','NorPowerLF','NorPowerHF','LF/HF','TotalPower','HeartCoh','SD1','SD2','SD2/SD1','ApEn','SampEn','DFAA1','DFAA2','StressIndex',Label,Score
1117.6,1116,1104,0.35629,0.36639,4.6344,24,18.876,1.689,14.111,0.014981,53.704,0.90287,50.847,57.692,27.895,275.44,64.865,53.304,65.347,15.389,12.646,44.408,36.494,1.22,421.51,0.014976,9.9967,24.752,2.476,0.71113,2.2951,1.0896,1.0636,421.35,2,2.2222
920.38,920,916,0.31188,0.17358,2.4638,24,17.66,1.9188,13.391,0,65.214,1.2481,62.241,68.493,28.297,144.81,57.333,65.864,48.873,19.349,22.228,37.845,43.476,0.87,296.31,0.027744,9.483,23.105,2.4364,0.75857,2.395,0.80487,0.90263,1314.1,1,0.63492
931.9,928,940,1.3638,0.11808,2.5874,52,36.929,3.9628,18.936,0.0062696,64.485,2.5531,58.14,72.816,63.967,892.8,232.74,105.22,68.956,17.976,8.1271,57.906,26.179,2.21,1294.7,0.010984,13.41,50.475,3.764,1.0173,1.4967,1.3043,1.148,175.53,1,0.15873
1091.1,1092,1104,2.2036,-0.82516,6.5145,60,46.943,4.3025,35.067,0.065934,55.099,2.5006,49.669,73.529,115.24,779.27,957.3,335.64,35.625,43.763,15.344,67.981,23.835,2.85,2187.5,0.14188,24.842,61.564,2.4783,1.0849,1.469,1.1048,0.75925,95.043,1,0.95238
898.25,896,884,1.3785,0.16352,2.4281,56,37.128,4.1334,22.687,0.021148,66.91,2.7568,60,73.171,137.74,887.11,91.831,298.2,62.698,6.4904,21.076,17.4,56.502,0.31,1414.9,0.0075412,16.067,49.989,3.1114,1.0977,1.797,0.82394,1.328,269.18,1,0.31746
860.53,864,852,1.9158,0.12436,4.567,52,43.77,5.0865,37.353,0.12392,69.905,3.58,58.594,81.522,54.008,350.09,385.35,487.2,27.423,30.185,38.162,41.59,52.582,0.79,1276.7,0.036864,26.451,55.965,2.1158,1.0702,1.3418,0.93943,0.97366,202.36,3,2.5397
1039,1036,1032,1.0168,-0.076906,4.1691,40,31.887,3.069,24.148,0.027972,57.802,1.7864,52.632,65.502,63.49,477.46,267.1,210.76,46.865,26.216,20.687,49.339,38.933,1.27,1018.8,0.032675,17.105,41.726,2.4394,1.1084,1.8073,1.0679,1.0292,217.43,1,1.1111
890.26,892,888,0.19239,-0.38798,3.276,16,13.87,1.558,6.4356,0,67.412,1.0575,64.935,71.77,8.4588,126.68,25.029,11.456,73.812,14.584,6.6753,55.69,25.49,2.18,171.62,0.00761,4.5575,19.079,4.1862,1.0519,1.6103,1.3741,1.3578,1962.3,1,0.15873
755.72,756,756,0.358,0.32905,2.6259,28,18.921,2.5037,9.3408,0,79.444,1.9756,74.627,84.746,26.852,231.8,113.29,26.616,58.16,28.424,6.6782,67.936,15.961,4.26,398.56,0.093289,6.6129,25.928,3.9208,0.9362,2.1635,1.3621,1.0439,1022.1,1,0.63492
911.4,908,912,1.0105,0.27942,2.5619,47,31.789,3.4879,29.609,0.052147,65.912,2.2828,59.524,70.755,83.884,447.4,157,278.83,46.261,16.233,28.832,30.208,53.651,0.56,967.11,0.0033677,20.969,39.766,1.8964,1.1211,1.7584,0.82809,1.1549,404.62,1,0.79365
